X,Y,Number,Letter,Angle,Distance
-569.5805053710938,8153.724609375,1,,153.78733177568182,882.3265624233256
-146.75457763671875,8474.9814453125,2,,-13.83584308210785,940.1153339962714
611.6001586914062,13310.6201171875,3,,133.0285175221899,1451.923960234074
6808.6552734375,14630.75390625,4,,-54.042256120811224,2090.8370073848755
7130.8720703125,15023.123046875,5,,121.75285797812727,2147.3288885890224
10554.8564453125,15713.8046875,6,,54.6416550196045,2510.2972771710083
10972.642578125,12648.357421875,7,,-29.053283096610013,2820.873421558179
2562.920166015625,6171.0234375,8,,163.07286056163184,3902.650496960463
2478.04150390625,5270.56201171875,9,,-21.066696185852937,3994.0988214165245
1890.1082763671875,4451.185546875,10,,152.54444074214535,4085.715555555554
-55.33073425292969,-5800.1669921875,11,,-95.85285360901966,5183.362657010956
